Chapter,Section,Page,Quote,Annotation,Type
2,From Static to Genetic Phenomenology,29,"From a genetic standpoint, however, this way of thinking remains abstract because it ignores the temporal development and individuation of the subject. The “I” or “ego” is not a mere “empty pole” of selfhood in experience but a concrete subject having habits, interests, convictions, and capabilities as a result of accumulated experience. In other words, the subject has to be seen as having a “life” in all the rich senses of this word—as formed by its individual history, as a living bodily subject of experience (Leib), and as belonging to an intersubjective “life-world” (Lebenswelt).","I think of Merleau-Ponty's reading of Lacan's argument about the mirror stage, or the period in which enfants learned to recognize themselces in a mirror. Here are some notes from a paper that I wrote before:
For Lacan, before the mirror stage, infants originally see their bodies as fragmented and themselves and others as one. In the process of subconsciously identifying with the mirror image, we establish a kind of narcissism that empowers and enthralls us to control our body, thus (mis-)separating it from the world. 
On the other hand, Merleau-Ponty observes that the child was shocked by the fact that their parent’s sound came from a different direction than the mirror, and then, quickly, the child learns to distinguish their parent and the image of their parent — all of which happening faster than them being able to distinguish themselves from their mirror image. It is through the learning that the parent’s mirror image develops after their body, Merleau-Ponty claims, that the child understands that their own body is associated with the mirror image. Subsequently, through the image in the mirror, they understand their body can also be perceived externally — by themselves looking at the mirror and by others looking at them (that is, they have assumed a “body image”).",Connection
2,From Static to Genetic Phenomenology,29,"The “I” or “ego” is not a mere “empty pole” of selfhood in experience but a concrete subject having habits, interests, convictions, and capabilities as a result of accumulated experience. In other words, the subject has to be seen as having a “life” in all the rich senses of this word— as formed by its individual history, as a living bodily subject of experience (Leib), and as belonging to an intersubjective “life-world” (Lebenswelt).","What exactly do we mean by ""concrete subject"". Is the Ego supposed to be observed and experienced directly, or do we infer its existence based on other factors in our experience? If we're going to talk about the ""self"" it seems like we need some kind of justification for it being phenomenologically ""real"" and not just a useful narrative/rhetorical construct.",Question
2,From Static to Genetic Phenomenology,29,"""Genetic phenomenology is concerned with how these intentional structures and objects emerge through time; therefore, it cannot take them as given. Instead, it analyzes how certain types of experience motivate later and more complex types—for example, how implicit and prereflective experiences motivate attentive and reflective experiences.""",This reminds me of a lot of the stuff that we studied in cog process when it comes to ideas of priming and also context effects on learning. I wonder how a phenomenological approach would respond to these ideas and how it was that individual differences affect them. This idea also gives big empiricism vibes. ,Other
2,From Static to Genetic Phenomenology,30,"To say that the habitual body acts as guarantee for the body at this moment is to say that one's lived body is a developmental being thick with its own history and sedimented ways of feeling, perceiving, acting, and imagining. These sedimented patterns are not limited to the space enclosed by the body's membrane; they span and interweave the lived body and its environment, thereby forming a unitary circuit of lived-body-environment. ",This was the image I had in my head- sort of like a rock that can be influenced/formed by outside and inside patterns. https://slcc.pressbooks.pub/app/uploads/sites/10/2020/05/Rock-Cycle.png,Connection
2,From Static to Genetic Phenomenology,30,"We thereby attend to things strictly as correlates of our experience, and the focus of our investigation becomes the correlational structure of our subjectivity and the appearance or disclosure of the world.","This is interesting because it seems to draw on both very behavioral ideas and pre-behavioral views. These two groups are generally in opposition, but it seems to me that the process that Husserl describes is both one of introspection and of observation of behavior. I'm a bit confused by what exactly this would look like. Would it be accurate to say that he is telling us to observe behavior through an introspective lens",Other
2,From Static to Genetic Phenomenology,31,"In shifting from a genetic to a generative register, the notion of the lived body is complemented with that of the life-world.",Is this the same life-world (Lebenswelt) mentioned earlier on page 27 when discussing genetic phenomenology?,"Question , Jargon"
2,From Static to Genetic Phenomenology,31,"""Thenceforward, long as he may live, he will never see a fig, a piebald horse, or a letter of the alphabet without the name which he first heard in conjunction with each clinging to it in his mind; and inversely he will never hear the name without the faint arousal of the image of the object.""","This reminds me of a quote from Merleau-Ponty on the phenomenological reduction: ""To return to the things themselves is to return to this world prior to knowledge, this world of which knowledge always speaks, and this world with regard to which every scientific determination is abstract, signitive, and dependent, just like geography with regard to the landscape where we first learned what a forest, a meadow, or a river is."" I think this quote adds an extra dimension to the discussion of association. M-P's emphasis on these things being of the ""world prior to knowledge"" indicates well that association is not merely drawing together two pre-formed, intelligible positivities, but creating or actualizing those 'things' out of a context that originally includes 'both' of them.","Add Context , Connection"
2,From Static to Genetic Phenomenology,31,"""The main methodical step crucial for the phenomenological reduction Husserl called the epoché.""",This is what a cycle of training is called when ANN are learning. Makes me think these ideas are connected. potentially worthy of discussion ,Other
2,From Genetic to Generative Phenomenology,32,"""Being able to redirect one’s attention to the manner in which something appears implies flexibility of attention; in particular it implies being able voluntarily to shift one’s attention and stabilize or sustain it on a given mode of presentation. """,This seems like something out of the matrix. remind me of the scene when neo sees the matrix and is able to beat agent smith: https://www.youtube.com/watch?v=H-0RHqDWcJE,Other
2,From Genetic to Generative Phenomenology,33," If static phenomenology is restricted in scope with respect to ge­netic phenomenology, then genetic phenomenology is restricted in scope with respect to generative phenomenology: the subject matter of generative phenomenology is the historical and intersubjective be­ coming of human experience, whereas genetic phenomenology fo­cuses on individual development without explicit analysis of its genera­tional and historical embeddedness.","Trying to rewrite it: Static phenomenology analyzes the ""appear-to-be"" structures of consciousness by seeing the intentional structure  and its objects as given; genetic phenomenology explores the development of intentional structures and its objects in terms of time; generative phenomenology examines how social, cultural, and historical contexts influence the intentional structure and its objects. ",Translation  style entry
2,From Genetic to Generative Phenomenology,36,The horizon of every possible horizon is the world.,I feel like this is supposed to be a profound sentence but I'm not quite able to get what he means here. I feel like maybe some sort of image would help?,"Add Context , Connection"
2,From Genetic to Generative Phenomenology,42,"""In active genesis subjects play an active and deliberate, productive role in the constitution of objects. The products of active genesis are tools, artworks, scientific theories, experimental interventions, logical judgments, mathematical propositions, and so on. Active genesis, however, always presupposes a passivity by which one is affected beforehand. It must be stressed that “passive” in this context does not mean a state of inactivity, but rather a state of being involuntarily influenced and affected by something. In particular, it means being influenced and affected on an aesthetic level, in the original Greek sense of aisthesis as sense perception, including especially the perception and felt experience of what is attractive and unattractive. Thus the thought behind the active/passive distinction is that our active orientation toward things in practical or theoretical reason, or artistic creation, presupposes a deeper and more fundamental openness to the world. It is an openness to being sensuously affected and solicited by the world through the medium of our living body, and responding by attraction and repulsion""","this is all very confusing to me, can we please go over it and maybe rewrite in a more coherent way ",Other
2,From Genetic to Generative Phenomenology,May-34,"""Husserl initially conceived of the life-world as a synthetic totality. Hence he treated it on the model of an object, albeit a peculiar all-encompassing one. Eventually, however, it became clear to him that the life-world cannot be given as any kind of intentional object, for it is always already there, pregiven rather than given... We can be conscious of things only as things within the world horizon, and we can become conscious of the world-horizon only as a horizon for existing objects.""",This reminds me of the figure-ground structure of perception discussed in Gestalt psychology. One of the more famous demonstrations of this is the Rubin Vase. It can be seen at the top of the Wikipedia page for Figure-ground: https://en.wikipedia.org/wiki/Figure%E2%80%93ground_(perception).,Connection
2,Phenomenology with an Attitude,18-19,"""Husserl’s answer is that our attention should be directed toward the world strictly as we experience it. We are to attend to the world strictly as it appears and as it is phenomenally
manifest. Put another way, we should attend to the modes or ways in which things appear to us. We thereby attend to things strictly as correlates of our experience, and the focus of our investigation becomes the correlational structure of our subjectivity and the appearance or
disclosure of the world.""","This idea of the ""phenomenological attitude"" seems very connected to buddist philosophy and the practice of mindful meditation. When reading this I was really reminded of one of Joseph Goldstein's practices called Open Awareness. I've provided an attachment to brief basic steps describing this practice. Note in step 5 the question, ""What is being known?"". This question is one that I feel in connected to the ideas Thompson discusses in this section because the phenomenological attitude by my understanding is stepping back from getting caught up in our own ""first person point of view"" and taking things only as they are and how we experience them, not trying to go beyond identifying how we experience something. 
Page 234 of this link: https://icrrd.com/public/media/15-05-2021-13031510-percent-Happier-Dan-Harris.pdf",Connection
2,Intentionality,24-25,"“Correlational” does not mean the constant conjunction of two terms that could be imagined to exist apart; rather, it refers to the invariant structure of intentional act/intentional object. Object directed intentional experiences necessarily comprise these two inseparable poles. In Husserlian phenomenological language, these two poles are known as the “noema” (the object in its givenness) and the “noesis” (the mental act that intends and discloses the object in a certain manner).""","This article helped me better understand what the noema and the noesis are in this context. This article defines it as, ""Only the intentional act (noesis) takes place within the mind. When the act is taking place, it is directed towards its content: the noema. The noema (plural noemata) is not a physical object, but neither is it within mind. Rather it belongs to an abstract transpersonal domain"" (A brief overview of phenomenology). For me this distinction is clearer than the one Thompson provided as well as the image provided in this article it just helps clarify these two entities before Thompson moves on to apply them in larger contexts. https://eutelic.medium.com/a-brief-overview-of-phenomenology-96cd92be8715",Add Context
2,Intentionality,24-25,"In Husserlian phenomenological language, these two poles are known as the ""noema"" (the object in its givenness) and the ""noesis"" (the mental act that intends and discloses the object in a certain manner).","Jargon related to the correlational structure of intentionality, highlighting the inseparability of the act that makes the object known consciously (noesis) and its object (noema).",Jargon
3,Intro,37,"""These two chapters will lay the groundwork for the enactive strategy of addressing the explanatory gap by going back to the roots of mind in life and then working forward to subjectivity or consciousness.""","When reading this, I took ""life"" to indicate the biological processes that (on a materialist account) unfold in the medium of matter. But does Thompson have a more specific definition than this? I think it would be useful to get clear on what exactly ""life"" is in this context and if there are any philosophical presuppositions underpinning this definition.","Add Context , Question"
3,Intro,37,"""In brief, an autonomous system is a self-determining system, as distinguished from a system determined from the outside, or a heteronomous system.""","This reminds me of Henri Bergson's designation of living organisms as ""centers"" or ""zones of indetermination."" Roughly, Bergson claims that the most basic distinction between living/conscious things and unconscious matter is the degree to which the living thing can resist the causal influence of external matter. E.g., when you kick a stone, it immediately and automatically ""responds"" with motion, whereas when you kick a living organism (hypothetically!) it might tense up or more firmly plant itself in the ground in an attempt to resist the attack.",Connection
3,Intro,37,"In brief, an autonomous system is a self-determining system, as distinguished from a system determined from the outside, or a heteronomous system. On the one hand, a living cell, a multicellular animal, an ant colony, or a human being behaves as a coherent, self-determining unity in its interactions with its environment. An automatic bank machine, on the other hand, is determined and controlled from the outside, in the realm of human design. The paradigm for interaction with a heteronomous system is input/processing/output, in which deviations from desired outputs are seen as system errors. The paradigm for interaction with an autonomous system is a conversation, in which unsatisfactory outcomes are seen as breaches of understanding (Varela 1979, p. xii). According to the enactive approach, living beings and cognitive agents need to be understood as autonomous systems.","Based on Thompson’s contrasting examples of autonomous vs. heteronomous systems, current “AI” like ChatGPT are most analogous to the heteronomous bank machine, despite their complex use of language. This is because they, like the artificial neural networks / connectionist theories they are designed with, are heteronomous in that their initial parameters, output parameters, training, and fine tuning are all dependent on human intervention. You would actually be surprised by the amount of human intervention and supervision “AI” need to function like they do. 
",Connection
3,Intro,37,"An automatic bank machine, on the other hand, is determined and controlled from the outside, in the realm of human design. The paradigm for interaction with a heteronomous system is input/processing/output, in which deviations from desired outputs are seen as system errors.",“Autonomous” vehicles are actually heteronomous: “Self-driving” cars require human engineer intervention every 5 miles or so (https://www.cnbc.com/2023/11/06/cruise-confirms-robotaxis-rely-on-human-assistance-every-4-to-5-miles.html). This is on top of the curated training data and iterations of fine tuning. ,Connection
3,Intro,37,"The key ideas on which this proposition is based are those of autonomous systems and emergence or emergent processes. In this chapter, I explain these ideas. In the next chapter, I explore some connections between these ideas and phenomenological ideas about form, in particular forms or structures of behavior. These two chapters will lay the groundwork for the enactive strategy of addressing the explanatory gap by going back to the roots of mind in life and then working forward to subjectivity and consciousness.
",Randall Beer (Cognitive Scientist) details the theoretical context of autonomy & enaction as they are used by enactivists like Thompson. https://youtu.be/ZJPLhy69N70?feature=shared,Add Context
3,Intro,37,The key ideas on which this proposition is based are those of autonomous systems and emergence or emergent processes. ,"Thompson co-wrote a chapter (https://www.researchgate.net/publication/292201703_The_enactive_approach) summarizing the enactive approach, including how autonomy works in it, with Ezequiel Di Paolo. It is worth a read if this chapter is too dense. In it they provide a great image for how to think about an autonomous system (https://www.researchgate.net/figure/A-schematic-illustration-of-the-concept-of-operational-closure-Circles-are-observed_fig1_292201703) ",Add Context
3,Intro,37,"""An automatic bank machine, on the other hand, is determined and controlled from the outside, in the realm of human design"". ","Reminds me of Heidegger's idea that objects exist in the world differently from human-beings. They are ""present-at-hand"", which means they are understood and categorized by its uses as tools.",Connection
3,Intro,37,"""For interaction with an autonomous system is a conversation, in which unsatisfactory outcomes are seen as breaches of understanding.""","What does the ""unsatisfactory"" mean here? Do the ""unsatisfactory outcomes"" of autonomous system other than lives, such as neural networks, also been seen as ""breaches of understanding""? Also, even when it is the case of human-beings, it seems a relative recent perspective to see the unsatisfactory outcomes as breaches of understanding (If we think back to when we define non-heterosexual people as ""mad, mentally ill"" ). ",Question
3,Dynamic Systems,39,"In general, a system is a collection of related entities or processes that stands out from a background as a since whole, as some observer sees and conceptualizes.","A dynamic systems model is trying to map out how a system changes over time. 
However, does identifying a system require an observer? We had a discussion in class about how difficult it is to define systems because we can both zoom in and zoom out of them. Is it purely up to the observer, and what does this mean for defining/creating dynamic models? Is it possible we are frequently missing parts of the system (or is that not possible if it is observer-constructed)","Question , Translation  style entry"
3,Dynamic Systems,40,"Of particular importance in the context of recent nonlinear dynamic-systems approaches to the brain and behavior is the notion of complexity as dynamic instability or metastability- ""the successive expression of different transient dynamics with stereotyped temporal patterns being continuously created and destroyed and reemerging again.","I'm not entirely sure what metastability is supposed to be, would like to unpack. Is it that the systems have different patterns that can be destroyed, reemerge, and create new patterns? How is this difference from complexity?",Question
3,Dynamic Systems,41,Whole Page,Un- or under-defined mathematical/statistical terms,Jargon
3,Dynamic Systems,41,"Relative phase is an example of a ""collective variable"" - one whose value is set by the relation between the values of other variables. ","I like the idea of ""complexity"" in a system along with ""collective variables"". Systems with a lot of variables can seem complex, but sometimes we can show that dynamical systems only ""care"" about a certain combination, subset, ratio, etc... of variables. This can retain the complexity of the system - from the perspective of following along a single parameter, the system still seems as complex as it ever was. But for the global behavior of the system, we can combine variables show that there are actually less degrees of freedom than we previously thought.",Add Context
3,Dynamic Systems,42,"One of the key points relating to the dynamical approach is its emphasis on time. Traditional computational models are static in that they specify only a sequence of discrete states through which the system must pass. In contrast, dynamic-systems models specify how processes unfold in real time. As Tim van Gelder states, ""Although all cognitive scientists understand cognition as something that happens over time, dynamicists see cognition as being in time, that is, as an essentially temporal phenomenon (van Gelder 1999a, p. 244). Van Gelder (1998) describes this contrast as one between change versus state; geometry versus structure; structure in time versus static structure; time versus order; parallel versus serial; and ongoing versus input/output. ",What is the importance of a shift to think about time / temporality? Does this directly relate to the discussion of the dynamical vs. linguistic modes of description later in the chapter? ,Question
3,Autonomous Systems,43,"Traditional computational models are static in that they specify only a sequence of discrete states through which the system must pass.
","DFAS in theoretical computer science (computability/complexity) . I think traditional computational models would follow rules like this where each state goes to another state and the only factors are the input that determine the ""output"" of the machine. This is removed from all other factors and there is no concept of time. Dynamicists are saying that this cannot represent cognition because this is not set “in time”. https://en.wikipedia.org/wiki/Deterministic_finite_automaton#/media/File:DFA_example_multiplies_of_3.svg
",Connection
3,Dynamic Systems,43,"dynamicists think of the processes as always ongoing, with no clear starting or end points","The nature of repeating patterns in autonomous system reminds me of a Mobius band. You can't tell where it start or ends. Time itself is linear, but it is time as the forth axis allowed the repeating patterns to exist.","Add Context , Connection"
3,Autonomous Systems,49,Figure 3.2,"I'm wondering what he means here by ""perturbations"" and ""response"". A lot of the time, the nervous system doesn't react with the environment outside of the organism all by itself. Can the perturbations be anything not already included in the dynamics of the nervous system but still within the bounds of the organism, like metabolic and physiological changes? Also, what do we mean by ""response"" here. Presumably the nervous system can't let out a ""response"" to the environment all by its own - it need to respond through other organs and systems. ",Question
3,Autonomous Systems,50,"The first point is that, strictly speaking, system, autonomy, and heteronomy are heuristic notions [...]","This feels like a major cop-out-- there's no way, with this qualification, that any system could be definitely classified as a heteronomous or autonomous system. It doesn't feel satisfying to have this caveat, and if anything it makes me doubt the classification.","Question , Criticism"
3,Autonomous Systems,50,Notice however--and this is the third point---that in so shifting perspectives we are ipso facto no longer talking about the same system.,"When we are viewing a system with different perspective of autonomous and heteronomous, aren't we viewing different context of the system? What does such different scope does and why are we referring to them.",Question
3,Autonomous Systems,51,"""In general, a system is a collection of related entities or processes that stands out from a background as a single whole, as some observer sees and conceptualizes things""","This remind me of the ideas from Gestalt psychology that we learned about last term, interesting to think about life as a sort of gestalt that emerges from its surroundings ",Add Context
3,Autonomous Systems,51,"We can also shift perspectives and characterize the nervous system as
a heteronomous system-that is, as a component system with various
functions defined in relation to the organism (such as registering sensory changes or guiding movement) . Notice, however-and this is the
third point-that in so shifting perspectives we are ipso facto no longer
talking about the same system. The system with which we are now concerned is no longer the nervous system as a finite neuronal network,
but rather the larger system of the organism (in which the nervous
system is seen as a component) . Similarly, we can also shift perspectives
and characterize the organism as a heteronomous system subject to
the control of the environment (for instance, other organisms). Once
again, in thus shifting perspectives we are ipso facto no longer dealing
with the same system. The system now is the larger system of organism plus-environment, not the organism as a finite cellular or multicellular
entity.","This part is a bit confusing. What does it mean to think of these component systems as heteronomous? He also just throws in the use of ""ipso facto,"" what does that phrase mean?","Question , Jargon"
3,Inforation and Meaning,52,"""Therefore a different mathematical approach has to be taken from that of finding a formula that makes possible the prediction of a future state from a present one.""","this is just what the mentats are able to do in dune and what pauls ultimate ability is, the idea that one can not see a future but can see many possible futures, also reminds me of doctor strange in infinity war",Connection
3,Inforation and Meaning,52,"""complexity as dynamic instability or metastability—“the successive expression of different transient dynamics with stereotyped temporal patterns being continuously created and destroyed and reemerging again”""",help i have no idea what this is saying,Question
3,Inforation and Meaning,53,"As Freeman explains, ""In the view from neurodynamics, neurons that respond to edges, lines, and moving spots are manifesting the local topological properties of neuronal maps, which extract local time and space derivatives in automatic preprocessing for spatial and temporal contrast enhancement. No objects or features are manifested at the level of the single neuron, assuredly not those used by an observer"" (Freeman 1995, p. 54). From an autonomy perspective, individual neurons do not detect objectively defined features. Rather, assemblies of neurons make sense of stimulation by constructing meaning, and this meaning arises as a function of how the brain's endogenous and nonlinear activity compensates for sensory perturbations. From this perspective, the feature-binding problem is not the brain's problem, but the brain theorist's problem; it is an artifact of a certain way of looking at the brain.”","Some major problems in cognitive science are created by theorizing about the brain as an input-output system, but the brain does not interact with information in this way. From the Autonomous stance, the brain is making sense of the world, not re-presenting it piece by piece. Information that our brains have access to is already human-relevant, meaning that we can think through interaction, and don't have to perceive, process, and then act. ",Translation  style entry
3,Inforation and Meaning,55,"First, for the code to be read there must ultimately be a transduction or conversion within the cell from the linguistic mode to the dynamical mode.","Maybe I'm not understanding this, but does the cell itself ever adopt the linguistic mode? A cell can't speak and say ""hey everyone, time to transduct""-- language is our way as humans of describing things, not a cell's way of doing so. It therefore doesn't make much sense to say that there needs to be a conversion in the cell itself from the language humans use to communicate to a dynamical mode. ",Question
3,Inforation and Meaning,55,""" Moreover, computationalists tend to think of this order as being the serial or sequential progression of sense → perceive → think → act, whereas for dynamicists cognition unfolds as the continuous coevolution of acting, perceiving, imagining, feeling, and thinking.""",This is very related to the idea of Markov blankets and free energy. I also don't really understand that at all but its an interesting connection,Add Context
3,Inforation and Meaning,56,"A symbolic explanation, such as the description of some cellular components as genes, betrays the emergence of certain coherent patterns of behavior to which we choose to pay attention.","I took this to mean that language was like a one-voice instrument, while the dynamic mode is more like a monophonic instrument. So it's impossible for us (one-voice instrument) to accurately sing a piano (monophonic) chord, because we can only sing one note at a time. In a similar way, language can only describe what's going on at one level, while in reality there is a cacophony of patterns and systems contributing to an event.","Add Context , Connection"
3,Inforation and Meaning,56,"Now, when we employ the linguistic mode of description and state that DNA/RNA ""codes"" for proteins, we restrict our focus to one particular sequence of this overall circular causality. We abstract away from the many intervening and necessary causal steps in the actual dynamic process of protein synthesis, and we bracket out the essential participation of many other molecular elements (such as RNA polymerase enzymes, and positive and negative regulatory proteins). We ""thus reduce our description to a skeleton that associates a certain part of a nucleic acid with a certain protein segment…","This is just the process of operationalization in science. We define terms, organs, cells, regions, etc. because there is some use in doing so. It helps us pick out and interact that thing to others and in other circumstances. It is problematic only if it is applied outside its domain or generalized too far. The claim Varela is making is just about the cost of doing science, which requires the linguistic mode in some sense. I see this as a resemblance between the enactive program and basic scientific process. ","Add Context , Connection"
